iter	RMSE
0	22467.2932
1	21510.96748
2	20720.86405
3	19973.03629
4	19283.26273
5	18393.54847
6	17919.3258
7	17491.51306
8	17131.94644
9	16723.58966
10	16440.14265
11	15828.65113
12	15592.05831
13	15093.77895
14	14659.95822
15	14280.29445
16	14099.90554
17	13776.14063
18	13605.03689
19	13339.15096
20	13167.1705
21	13027.95996
22	12899.01143
23	12681.75212
24	12493.29971
25	12373.74868
26	12264.72339
27	12151.81214
28	11990.27616
29	11899.33124
30	11792.22379
31	11706.13532
32	11631.86087
33	11507.30259
34	11369.17158
35	11297.55888
36	11201.11798
37	11124.36093
38	11049.06454
39	10958.8459
40	10887.32622
41	10788.03028
42	10699.89774
43	10583.96729
44	10519.34424
45	10462.20398
46	10416.96407
47	10354.03632
48	10299.7281
49	10200.5322
50	10120.60165
51	10065.20113
52	10019.12148
53	9932.640746
54	9892.292177
55	9822.45157
56	9772.939896
57	9717.626839
58	9678.754272
59	9634.402482
60	9571.613984
61	9538.236494
62	9505.383753
63	9467.860202
64	9440.838587
65	9380.100863
66	9351.718284
67	9316.327568
68	9285.110075
69	9237.091301
70	9209.39742
71	9144.304708
72	9095.697877
73	9048.567922
74	9002.045584
75	8965.85488
76	8936.902432
77	8908.775745
78	8878.590605
79	8853.808591
80	8831.061023
81	8787.24204
82	8754.211204
83	8728.353104
84	8699.366647
85	8662.921662
86	8642.630861
87	8622.812955
88	8599.611799
89	8572.566041
90	8514.534954
91	8489.161099
92	8433.526267
93	8408.742457
94	8385.898238
95	8353.132849
96	8324.791648
97	8306.662999
98	8284.353697
99	8264.378329
100	8240.210885
101	8219.645928
102	8197.737127
103	8182.160631
104	8161.504883
105	8141.655078
106	8099.135918
107	8084.105319
108	8046.892663
109	8029.262323
110	8015.983305
111	7988.167879
112	7970.910708
113	7960.926862
114	7946.044678
115	7921.020587
116	7913.902635
117	7898.016382
118	7878.360089
119	7849.240829
120	7827.667273
121	7789.124149
122	7778.30909
123	7751.925665
124	7730.352878
125	7713.351611
126	7704.136861
127	7687.533767
128	7650.19681
129	7632.953971
130	7619.017731
131	7588.731297
132	7575.921805
133	7554.071351
134	7538.705696
135	7522.345014
136	7502.443009
137	7472.092808
138	7454.452025
139	7431.62351
140	7419.980263
141	7403.11077
142	7385.189849
143	7365.351002
144	7345.225869
145	7336.783603
146	7312.207561
147	7299.493238
148	7289.908291
149	7274.092453
150	7264.955852
151	7235.978392
152	7229.214794
153	7213.957111
154	7199.953075
155	7189.077619
156	7162.315469
157	7147.149513
158	7136.533818
159	7123.665855
160	7113.236594
161	7104.96625
162	7090.21969
163	7074.637283
164	7051.794408
165	7030.087775
166	7012.027444
167	7005.627216
168	6992.231829
169	6977.917992
170	6968.871923
171	6957.494126
172	6934.577758
173	6922.064977
174	6907.578854
175	6897.415744
176	6885.349407
177	6863.165523
178	6851.209274
179	6837.846956
180	6829.509347
181	6815.487333
182	6805.675898
183	6797.243729
184	6791.807313
185	6785.209041
186	6772.679333
187	6758.389337
188	6750.868017
189	6741.477543
190	6733.654236
191	6723.526185
192	6713.051733
193	6702.496884
194	6693.744293
195	6686.234353
196	6678.42109
197	6671.245261
198	6662.041989
199	6649.330922
200	6630.005315
201	6622.238538
202	6604.783728
203	6596.579761
204	6589.088096
205	6581.294652
206	6569.223595
207	6559.278247
208	6550.577674
209	6541.770585
210	6526.764911
211	6516.355489
212	6511.240358
213	6504.58834
214	6499.342164
215	6493.805325
216	6486.244527
217	6479.052951
218	6470.803076
219	6463.430542
220	6453.884462
221	6441.591613
222	6432.901214
223	6420.476761
224	6413.083354
225	6397.38677
226	6388.939409
227	6383.792946
228	6380.77087
229	6373.757005
230	6370.16943
231	6363.502684
232	6355.584056
233	6349.677813
234	6339.912471
235	6334.039507
236	6324.344267
237	6318.497232
238	6309.312261
239	6303.369434
240	6294.961222
241	6285.076669
242	6280.115529
243	6267.923557
244	6253.041689
245	6248.67642
246	6239.873957
247	6233.725087
248	6228.298679
249	6221.799218
250	6215.432288
251	6208.98674
252	6202.881369
253	6196.650957
254	6193.152156
255	6186.232842
256	6179.930405
257	6166.236328
258	6156.042833
259	6149.374007
260	6142.372714
261	6135.195728
262	6131.021206
263	6126.28991
264	6122.62591
265	6115.970166
266	6106.382548
267	6099.55811
268	6092.331313
269	6081.984856
270	6077.377831
271	6070.858691
272	6066.689922
273	6058.824928
274	6054.88233
275	6034.69652
276	6028.68916
277	6022.329418
278	6012.034651
279	6008.126273
280	6003.937091
281	5994.566721
282	5984.503449
283	5979.816827
284	5975.966332
285	5970.301038
286	5964.678998
287	5957.84655
288	5953.280039
289	5947.922533
290	5932.869275
291	5927.088275
292	5923.490143
293	5918.5714
294	5913.905376
295	5909.479074
296	5904.945436
297	5902.282191
298	5895.709391
299	5890.424498
300	5883.097486
301	5877.620369
302	5872.827473
303	5866.985713
304	5858.24296
305	5853.994836
306	5846.531058
307	5843.334807
308	5839.675776
309	5835.009937
310	5829.201682
311	5825.256485
312	5818.082392
313	5812.110606
314	5806.904618
315	5803.788989
316	5795.561964
317	5792.507831
318	5788.823185
319	5784.647351
320	5780.397264
321	5776.869567
322	5771.828792
323	5768.007996
324	5761.625118
325	5757.130006
326	5751.392254
327	5745.708759
328	5742.228563
329	5737.629057
330	5733.309632
331	5730.34699
332	5726.442954
333	5721.929816
334	5719.164167
335	5709.797851
336	5705.969416
337	5701.864404
338	5698.464087
339	5693.728676
340	5689.795019
341	5687.495396
342	5681.720085
343	5679.17303
344	5672.812455
345	5669.00859
346	5663.823767
347	5660.414113
348	5650.509661
349	5642.793349
350	5639.368108
351	5634.390809
352	5629.756467
353	5625.986644
354	5623.057141
355	5618.122262
356	5613.865447
357	5611.733423
358	5607.525392
359	5603.792501
360	5597.946261
361	5593.18352
362	5590.622917
363	5586.451907
364	5581.367026
365	5578.803816
366	5572.290902
367	5567.306461
368	5563.561127
369	5560.468098
370	5556.445404
371	5553.563081
372	5550.090555
373	5546.466202
374	5541.467223
375	5537.920716
376	5534.859351
377	5532.163016
378	5528.783822
379	5525.52292
380	5522.774397
381	5519.927231
382	5517.768291
383	5514.596135
384	5512.179708
385	5507.358943
386	5502.423436
387	5499.562721
388	5495.464023
389	5491.837088
390	5485.991673
391	5478.018538
392	5474.486388
393	5470.302911
