iter	Passed	Remaining
0	280	279748
1	414	206799
2	541	179908
3	680	169493
4	831	165454
5	977	161989
6	1090	154746
7	1208	149881
8	1326	146075
9	1548	153276
10	1668	150019
11	1778	146437
12	1881	142868
13	2000	140865
14	2122	139381
15	2233	137384
16	2353	136112
17	2466	134541
18	2595	134002
19	2742	134374
20	2886	134570
21	3013	133946
22	3132	133049
23	3239	131721
24	3349	130618
25	3454	129424
26	3566	128526
27	3677	127662
28	3805	127412
29	3921	126800
30	4029	125950
31	4150	125550
32	4263	124933
33	4377	124362
34	4488	123743
35	4597	123113
36	4699	122317
37	4817	121967
38	4929	121464
39	5046	121127
40	5178	121122
41	5311	121154
42	5427	120787
43	5532	120203
44	5644	119793
45	5763	119520
46	5892	119471
47	6002	119040
48	6125	118887
49	6263	119003
50	6395	119006
51	6519	118850
52	6616	118221
53	6733	117967
54	6846	117641
55	6950	117165
56	7063	116859
57	7177	116567
58	7283	116170
59	7397	115888
60	7529	115908
61	7656	115829
62	7781	115737
63	7886	115335
64	8003	115128
65	8117	114871
66	8224	114524
67	8335	114244
68	8442	113915
69	8545	113533
70	8654	113244
71	8766	112989
72	8874	112696
73	8986	112455
74	9100	112235
75	9201	111868
76	9311	111616
77	9426	111426
78	9533	111142
79	9637	110834
80	9757	110708
81	9900	110840
82	10015	110652
83	10133	110508
84	10245	110291
85	10352	110027
86	10466	109838
87	10578	109632
88	10688	109407
89	10795	109152
90	10915	109033
91	11034	108908
92	11136	108607
93	11246	108393
94	11361	108237
95	11462	107936
96	11573	107740
97	11681	107520
98	11785	107256
99	11903	107131
100	12017	106967
101	12148	106951
102	12266	106829
103	12410	106917
104	12527	106785
105	12634	106558
106	12737	106303
107	12848	106120
108	12960	105946
109	13065	105715
110	13181	105570
111	13304	105488
112	13516	106099
113	13621	105862
114	13759	105887
115	13877	105755
116	13996	105635
117	14102	105411
118	14213	105227
119	14325	105052
120	14428	104816
121	14556	104762
122	14674	104631
123	14804	104588
124	14912	104386
125	15028	104244
126	15142	104091
127	15255	103928
128	15352	103661
129	15465	103501
130	15576	103326
131	15678	103095
132	15790	102937
133	15907	102806
134	16020	102650
135	16131	102482
136	16251	102372
137	16355	102160
138	16458	101947
139	16566	101765
140	16674	101581
141	16774	101355
142	16890	101227
143	17020	101174
144	17135	101042
145	17253	100922
146	17366	100772
147	17466	100552
148	17600	100521
149	17714	100381
150	17824	100219
151	17968	100245
152	18176	100622
153	18301	100536
154	18423	100438
155	18545	100334
156	18658	100188
157	18760	99979
158	18870	99811
159	18975	99619
160	19169	99895
161	19331	99996
162	19456	99909
163	19596	99895
164	19718	99787
165	19848	99723
166	19978	99654
167	20096	99524
168	20210	99377
169	20315	99189
170	20428	99034
171	20541	98884
172	20649	98712
173	20754	98524
174	20863	98358
175	20980	98228
176	21092	98072
177	21208	97939
178	21316	97770
179	21419	97578
180	21525	97398
181	21655	97332
182	21779	97233
183	21904	97141
184	22012	96972
185	22124	96825
186	22237	96680
187	22354	96551
188	22461	96380
189	22562	96188
190	22681	96068
191	22804	95970
192	22908	95786
193	23020	95643
194	23141	95531
195	23249	95371
196	23365	95241
197	23473	95079
198	23575	94895
199	23683	94735
200	23805	94629
201	23908	94450
202	24034	94361
203	24178	94341
204	24322	94325
205	24441	94205
206	24541	94018
207	24656	93885
208	24767	93737
209	24867	93548
210	24978	93404
211	25096	93282
212	25202	93117
213	25310	92962
214	25418	92805
215	25616	92979
216	25726	92827
217	25833	92668
218	25939	92506
219	26043	92334
220	26154	92190
221	26267	92054
222	26379	91912
223	26507	91831
224	26637	91750
225	26749	91612
226	26861	91472
227	26974	91333
228	27088	91203
229	27192	91035
